Name,Type,Nominal,Low tolerance,High tolerance,Meas 01,Meas 02,Meas 03,Meas 04,Meas 05,Meas 06,Meas 07,Meas 08,Meas 09,Meas 10,Meas 11,Meas 12,Meas 13,Meas 14,Mean,Standard deviation,Min value,Max value,Range,Status
PINULE_1,X,1490.0400,-0.0500,0.0500,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,1490.0254,0.0000,1490.0254,1490.0254,0.0000,100
PINULE_1,Y,-869.9720,-0.0500,0.0500,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,-869.9817,0.0000,-869.9817,-869.9817,0.0000,100
PINULE_1,Z,685.5350,-0.0500,0.0500,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,685.5350,0.0000,685.5350,685.5350,0.0000,100
PINULE_2,X,1098.0120,-0.0500,0.0500,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,1098.0209,0.0000,1098.0209,1098.0209,0.0000,100
PINULE_2,Y,-644.9990,-0.0500,0.0500,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,-644.9795,0.0000,-644.9795,-644.9795,0.0000,100
PINULE_2,Z,685.5800,-0.0500,0.0500,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,685.5800,0.0000,685.5800,685.5800,0.0000,100
PINULE_3,X,510.0460,-0.0500,0.0500,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,510.0517,0.0000,510.0517,510.0517,0.0000,100
PINULE_3,Y,-869.9630,-0.0500,0.0500,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,-869.9729,0.0000,-869.9729,-869.9729,0.0000,100
PINULE_3,Z,685.5670,-0.0500,0.0500,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,685.5670,0.0000,685.5670,685.5670,0.0000,100
FLUSH_WINDOW_1,X,576.0610,-0.5000,0.5000,576.0534,576.0468,576.0500,576.0450,576.0573,576.0500,576.0517,576.0456,576.0553,576.0461,576.0493,576.0464,576.0499,576.0473,576.0496,0.0038,576.0573,576.0450,0.0123,100
